"YEAR","AGE_GROUP","METRIC","FINES","STATE"
2024,"40-64","Speed Fines",4244,"WA"
2024,"40-64","Speed Fines",14344,"WA"
2024,"40-64","Speed Fines",2419,"WA"
2024,"40-64","Speed Fines",6352,"WA"
2024,"40-64","Speed Fines",0,"WA"
2024,"40-64","Unlicensed Driving",75,"WA"
2024,"65 and over","Mobile Phone Use",11,"WA"
2024,"65 and over","Non Wearing Seatbelts",13,"WA"
2024,"65 and over","Speed Fines",82,"WA"
2024,"65 and over","Speed Fines",1136,"WA"
2024,"65 and over","Speed Fines",3538,"WA"
2024,"65 and over","Speed Fines",431,"WA"
2024,"65 and over","Speed Fines",2129,"WA"
2024,"65 and over","Speed Fines",0,"WA"
2024,"65 and over","Unlicensed Driving",10,"WA"
2024,"0-16","Speed Fines",3,"ACT"
2024,"0-16","Speed Fines",4,"ACT"
2024,"0-16","Unlicensed Driving",0,"ACT"
2024,"17-25","Mobile Phone Use",265,"ACT"
2024,"17-25","Mobile Phone Use",5,"ACT"
2024,"17-25","Non Wearing Seatbelts",6,"ACT"
2024,"17-25","Speed Fines",449,"ACT"
2024,"17-25","Speed Fines",319,"ACT"
2024,"17-25","Speed Fines",48,"ACT"
2024,"17-25","Unlicensed Driving",6,"ACT"
2024,"26-39","Mobile Phone Use",670,"ACT"
2024,"26-39","Mobile Phone Use",9,"ACT"
2024,"26-39","Non Wearing Seatbelts",4,"ACT"
2024,"26-39","Speed Fines",991,"ACT"
2024,"26-39","Speed Fines",745,"ACT"
2024,"26-39","Speed Fines",68,"ACT"
2024,"26-39","Unlicensed Driving",15,"ACT"
2024,"40-64","Mobile Phone Use",614,"ACT"
2024,"40-64","Mobile Phone Use",6,"ACT"
2024,"40-64","Speed Fines",1756,"ACT"
2024,"40-64","Speed Fines",870,"ACT"
2024,"40-64","Speed Fines",50,"ACT"
2024,"40-64","Unlicensed Driving",6,"ACT"
2024,"65 and over","Mobile Phone Use",68,"ACT"
2024,"65 and over","Mobile Phone Use",1,"ACT"
2024,"65 and over","Speed Fines",542,"ACT"
2024,"65 and over","Speed Fines",306,"ACT"
2024,"65 and over","Speed Fines",7,"ACT"
2024,"0-16","Speed Fines",5,"NSW"
2024,"0-16","Unlicensed Driving",0,"NSW"
2024,"17-25","Mobile Phone Use",56,"NSW"
2024,"17-25","Non Wearing Seatbelts",68,"NSW"
2024,"17-25","Speed Fines",1310,"NSW"
2024,"17-25","Unlicensed Driving",34,"NSW"
2024,"26-39","Mobile Phone Use",63,"NSW"
2024,"26-39","Non Wearing Seatbelts",96,"NSW"
2024,"26-39","Speed Fines",1959,"NSW"
2024,"26-39","Unlicensed Driving",72,"NSW"
2024,"40-64","Mobile Phone Use",28,"NSW"
2024,"40-64","Non Wearing Seatbelts",79,"NSW"
2024,"40-64","Speed Fines",2072,"NSW"
2024,"40-64","Unlicensed Driving",58,"NSW"
2024,"65 and over","Mobile Phone Use",6,"NSW"
2024,"65 and over","Non Wearing Seatbelts",22,"NSW"
2024,"65 and over","Speed Fines",508,"NSW"
2024,"65 and over","Unlicensed Driving",5,"NSW"
2024,"0-16","Non Wearing Seatbelts",4,"NSW"
2024,"0-16","Speed Fines",6,"NSW"
